Input/Output;Name of consumption mix;Name of input/output;Quantity;Unit;Comment on proxys / origins
Input;Haddock, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.4;kg;
Output;Hake, consumption mix {FR} U;Hake, consumption mix {FR} U;1.0;kg;
Input;Hake, consumption mix {FR} U;Saithe, Pollachius virens, NorthSea, Bottom Trawl, average, fresh, at landing {EU} U;0.3;kg;EU process assumed to be the same as French
Input;Hake, consumption mix {FR} U;Saithe, Pollachius virens, NorthSea, Bottom Trawl, average, fresh, at landing {EU} U;0.3;kg;Non-EU process assumed to be the same as French
Input;Hake, consumption mix {FR} U;Saithe, Pollachius virens, NorthSea, Bottom Trawl, average, fresh, at landing {EU} U;0.4;kg;
Output;Hard cheese, emmental-type cheese, reduced fat, from cow's milk, consumption mix {FR} U;Hard cheese, emmental-type cheese, reduced fat, from cow's milk, consumption mix {FR} U;1.0;kg;
Input;Hard cheese, emmental-type cheese, reduced fat, from cow's milk, consumption mix {FR} U;Hard cheese, emmental-type cheese, reduced fat production, from cow's milk, hard cheese, French production mix, at plant, 1 kg of Hard, emmental-type cheese, reduced fat cheese (PGi) {FR} U;1.0;kg;
Output;Hard cheese, from cow's milk, consumption mix {FR} U;Hard cheese, from cow's milk, consumption mix {FR} U;1.0;kg;
Input;Hard cheese, from cow's milk, consumption mix {FR} U;Cheese production, from cow's milk, hard cheese, French production mix, at plant, 1 kg of hard cheese (PGi) {FR} U;1.0;kg;
Output;Hard cheese, from ewe's milk, consumption mix {FR} U;Hard cheese, from ewe's milk, consumption mix {FR} U;1.0;kg;
Input;Hard cheese, from ewe's milk, consumption mix {FR} U;Cheese production, from ewe's milk, hard cheese, French production mix, at plant, 1 kg of hard cheese {FR} U;1.0;kg;
Output;Hard cheese, from goat's milk, consumption mix {FR} U;Hard cheese, from goat's milk, consumption mix {FR} U;1.0;kg;
Input;Hard cheese, from goat's milk, consumption mix {FR} U;Cheese production, from goat's milk, hard cheese, French production mix, at plant, 1 kg of hard cheese {FR} U;1.0;kg;
Output;Haricot bean, consumption mix {FR} U;Haricot bean, consumption mix {FR} U;1.0;kg;
Input;Haricot bean, consumption mix {FR} U;French bean, conventional, national average, at farm gate {FR} U;1.0;kg;
Output;Hazelnut, unshelled, consumption mix {FR} U;Hazelnut, unshelled, consumption mix {FR} U;1.0;kg;
Input;Hazelnut, unshelled, consumption mix {FR} U;Hazelnut, unshelled, at plant {IT} U;0.19540229885057472;kg;Relative import share for hazelnut unshelled in France : Italie, 17%, Turkey, 70% (average FAOSTAT data from 2014-2019 for hazelnut, unshelled import to France)
Input;Hazelnut, unshelled, consumption mix {FR} U;Hazelnut, unshelled, at plant {TR} U;0.8045977011494252;kg;Relative import share for hazelnut unshelled in France : Italie, 17%, Turkey, 70% (average FAOSTAT data from 2014-2019 for hazelnut, unshelled import to France)
Output;Hazelnuts, with shell, consumption mix {FR} U;Hazelnuts, with shell, consumption mix {FR} U;1.0;kg;
Input;Hazelnuts, with shell, consumption mix {FR} U;Hazelnut, in shell, at farm {IT} - Adapted from WFLDB U;0.161;kg;
Input;Hazelnuts, with shell, consumption mix {FR} U;Hazelnut, in shell, at farm {TR} - Adapted from WFLDB U;0.839;kg;
Output;Honey, consumption mix {FR} U;Honey, consumption mix {FR} U;1.0;kg;
Input;Honey, consumption mix {FR} U;Honey, raw, small-scale production, unpackaged, at farm {CH} - Adapted from WFLDB U;0.289;kg;CH used as a substitute for ES
Input;Honey, consumption mix {FR} U;Honey, raw, small-scale production, unpackaged, at farm {CH} - Adapted from WFLDB U;0.259;kg;CH used as a substitute for BE
Input;Honey, consumption mix {FR} U;Honey, raw, small-scale production, unpackaged, at farm {CH} - Adapted from WFLDB U;0.181;kg;CH used as a substitute for UA
Input;Honey, consumption mix {FR} U;Honey, raw, small-scale production, unpackaged, at farm {CH} - Adapted from WFLDB U;0.172;kg;CH used as a substitute for DE
Input;Honey, consumption mix {FR} U;Honey, raw, large-scale production, unpackaged, at farm {US} - Adapted from WFLDB U;0.098;kg;US used as a substitute for AR
Output;Horse mackerel, consumption mix {FR} U;Horse mackerel, consumption mix {FR} U;1.0;kg;
Input;Horse mackerel, consumption mix {FR} U;Atlantic Mackerel, Scomber scombrus, NEA, Pelagic Trawl, average, at landing {NL} U;0.3;kg;EU process assumed to be the same as French
Input;Horse mackerel, consumption mix {FR} U;Atlantic Mackerel, Scomber scombrus, NEA, Pelagic Trawl, average, at landing {NL} U;0.3;kg;Non-EU process assumed to be the same as French
Input;Horse mackerel, consumption mix {FR} U;Atlantic Mackerel, Scomber scombrus, NEA, Pelagic Trawl, average, at landing {NL} U;0.4;kg;
Output;Horseradish, fresh, consumption mix {FR} U;Horseradish, fresh, consumption mix {FR} U;1.0;kg;
Input;Horseradish, fresh, consumption mix {FR} U;Carrot, conventional, national average, at farm gate {FR} U;1.0;kg;
Output;Iceberg lettuce, consumption mix {FR} U;Iceberg lettuce, consumption mix {FR} U;1.0;kg;
Input;Iceberg lettuce, consumption mix {FR} U;Iceberg lettuce {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;1.0;kg;
Output;In-season cucumber, consumption mix {FR} U;In-season cucumber, consumption mix {FR} U;1.0;kg;
Input;In-season cucumber, consumption mix {FR} U;Tomato, medium size, conventional, soil based, non-heated greenhouse, at greenhouse {FR} U;1.0;kg;
Output;In-season eggplant, consumption mix {FR} U;In-season eggplant, consumption mix {FR} U;1.0;kg;
Input;In-season eggplant, consumption mix {FR} U;Zucchini, conventional, national average, at farm gate {FR} U;1.0;kg;
Output;In-season strawberries, consumption mix {FR} U;In-season strawberries, consumption mix {FR} U;1.0;kg;
Input;In-season strawberries, consumption mix {FR} U;Strawberry, open field, conventional, at farm gate {FR} U;0.678;kg;
Input;In-season strawberries, consumption mix {FR} U;Strawberry for processing, open field, conventional, at farm gate {ES} U;0.322;kg;
Output;In-season tomatoes, consumption mix {FR} U;In-season tomatoes, consumption mix {FR} U;1.0;kg;
Input;In-season tomatoes, consumption mix {FR} U;Tomato, medium size, conventional, soil based, non-heated greenhouse, at greenhouse {FR} U;1.0;kg;"76% of the in-season tomatoes consumed in France are tomatos produced in non-heated greenhouses of Frances. The rest is coming from elsewhere or produced differentely but is excluded from this mix due to the cut-off-rule ""70 % cut-off threshold for consumption origin breakdown"" (see p. 26 of methodological report). "
Output;John dory, consumption mix {FR} U;John dory, consumption mix {FR} U;1.0;kg;
Input;John dory, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.3;kg;EU process assumed to be the same as French
Input;John dory, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.3;kg;Non-EU process assumed to be the same as French
Input;John dory, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.4;kg;
Output;Kiwi, consumption mix {FR} U;Kiwi, consumption mix {FR} U;1.0;kg;
Input;Kiwi, consumption mix {FR} U;Kiwi FR, conventional, national average, at plant {FR} U;0.434108527;kg;National french production represents 43% of kiwi consumption in France (Mean value 2016-2020 based on Agreste Data) Imports represent 57% of kiwi consumption in France (Mean value 2016-2020 based on French Custody Data) Imports are split between 59% NZ and 41% IT (Mean value 2016-2020 extrapolated to 100% based on French Custody Data).
Input;Kiwi, consumption mix {FR} U;Kiwi {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0.334;kg;GLO used as a substitute for NZ. 
Input;Kiwi, consumption mix {FR} U;Kiwi {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0.231;kg;GLO used as a substitute for IT. National french production represents 43% of kiwi consumption in France (Mean value 2016-2020 based on Agreste Data)
Output;Kohlrabi, consumption mix {FR} U;Kohlrabi, consumption mix {FR} U;1.0;kg;
Input;Kohlrabi, consumption mix {FR} U;Cauliflower, conventional, national average, at farm gate {FR} U;1.0;kg;
Output;Kumquat, consumption mix {FR} U;Kumquat, consumption mix {FR} U;1.0;kg;
Input;Kumquat, consumption mix {FR} U;Orange, fresh grade {ES}| orange production, fresh grade | Cut-off, U - Adapted from Ecoinvent U;1.0;kg;
Output;Lamb's lettuce, consumption mix {FR} U;Lamb's lettuce, consumption mix {FR} U;1.0;kg;
Input;Lamb's lettuce, consumption mix {FR} U;Lettuce, conventional, national average, at farm gate {FR} U;1.0;kg;
Output;Langres cheese, from cow's milk, consumption mix {FR} U;Langres cheese, from cow's milk, consumption mix {FR} U;1.0;kg;
Input;Langres cheese, from cow's milk, consumption mix {FR} U;Langres cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Langres type soft cheese (PGi) {FR} U;1.0;kg;
Output;Largehead hairtail, consumption mix {FR} U;Largehead hairtail, consumption mix {FR} U;1.0;kg;
Input;Largehead hairtail, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.3;kg;EU process assumed to be the same as French
Input;Largehead hairtail, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.3;kg;Non-EU process assumed to be the same as French
Input;Largehead hairtail, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.4;kg;
Output;Leek, consumption mix {FR} U;Leek, consumption mix {FR} U;1.0;kg;
Input;Leek, consumption mix {FR} U;Leek, conventional, national average, at plant {FR} U;1.0;kg;
Output;Lemon juice, pure juice, consumption mix {FR} U;Lemon juice, pure juice, consumption mix {FR} U;1.0;kg;
Input;Lemon juice, pure juice, consumption mix {FR} U;Lemon juice, pure juice, at plant {IT} U;1.0;kg;Source : all the most consumed lemon juice come from Italy : https://fr.openfoodfacts.org/produit/8009490001087/jus-de-citron-siracuse https://fr.openfoodfacts.org/produit/76106057/zitronensaft-sicilia https://fr.openfoodfacts.org/produit/8009490000011/jus-de-citron-de-sicile-ital-lemon https://fr.openfoodfacts.org/produit/3528780130016/jus-de-citron-de-sicile-le-citronnier
Output;Lemon sole, consumption mix {FR} U;Lemon sole, consumption mix {FR} U;1.0;kg;
Input;Lemon sole, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.3;kg;EU process assumed to be the same as French
Input;Lemon sole, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.3;kg;Non-EU process assumed to be the same as French
Input;Lemon sole, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.4;kg;
Output;Lemon, consumption mix {FR} U;Lemon, consumption mix {FR} U;1.0;kg;
Input;Lemon, consumption mix {FR} U;Lemon {ES}| lemon production | Cut-off, U - Adapted from Ecoinvent U;1.0;kg;
Output;Lentils, consumption mix {FR} U;Lentils, consumption mix {FR} U;1.0;kg;
Input;Lentils, consumption mix {FR} U;Lentil {CA-SK}| lentil production | Cut-off, U - Adapted from Ecoinvent U;0.50792;kg;
Input;Lentils, consumption mix {FR} U;Lentil {CA-AB}| lentil production | Cut-off, U - Adapted from Ecoinvent U;0.05208;kg;
Input;Lentils, consumption mix {FR} U;Lentil {CA-SK}| lentil production | Cut-off, U - Adapted from Ecoinvent U;0.44;kg;RoW used as substitute for FR
Output;Lettuce, consumption mix {FR} U;Lettuce, consumption mix {FR} U;1.0;kg;
Input;Lettuce, consumption mix {FR} U;Lettuce, conventional, national average, at farm gate {FR} U;1.0;kg;
Output;Lima bean, consumption mix {FR} U;Lima bean, consumption mix {FR} U;1.0;kg;
Input;Lima bean, consumption mix {FR} U;Fava bean, Swiss integrated production {CH}| fava bean production, Swiss integrated production, at farm | Cut-off, U - Adapted from Ecoinvent U;1.0;kg;
Output;Lime, consumption mix {FR} U;Lime, consumption mix {FR} U;1.0;kg;
Input;Lime, consumption mix {FR} U;Lemon {ES}| lemon production | Cut-off, U - Adapted from Ecoinvent U;1.0;kg;
Output;Ling, consumption mix {FR} U;Ling, consumption mix {FR} U;1.0;kg;
Input;Ling, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.3;kg;EU process assumed to be the same as French
Input;Ling, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.3;kg;Non-EU process assumed to be the same as French
Input;Ling, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.4;kg;
Output;Linseed oil, consumption mix {FR} U;Linseed oil, consumption mix {FR} U;1.0;kg;
Input;Linseed oil, consumption mix {FR} U;Linseed oil, at plant {FR} U;0.5625000000000001;kg;Refined linseed oil in France
Input;Linseed oil, consumption mix {FR} U;Linseed oil, refined, at oil mill {BE} U;0.4375;kg;Refined linseed oil in Belgium
Output;Linseed, consumption mix {BE} U;Linseed, consumption mix {BE} U;1.0;kg;
Input;Linseed, consumption mix {BE} U;Linseed, at farm {RU} - Adapted from WFLDB U;0.4673913043478261;kg;Linseed produced in Russia. Data from WFLDB 3.1.
Input;Linseed, consumption mix {BE} U;Linseed, at farm {RU} - Adapted from WFLDB U;0.28260869565217395;kg;Linseed produced in Kazakstan. Ru is used as proxy for KZ. Data from WFLDB 3.1.
Input;Linseed, consumption mix {BE} U;Linseed, at farm {CA} - Adapted from WFLDB U;0.25000000000000006;kg;Linseed produced in Canada. Data from WFLDB 3.1
Output;Linseed, consumption mix {FR} U;Linseed, consumption mix {FR} U;1.0;kg;
Input;Linseed, consumption mix {FR} U;Flaxseed grain dried, stored and transported, processing {FR} U;0.6555555555555556;kg;Linseed produced in France. Data from Agribalyse 1.4
Input;Linseed, consumption mix {FR} U;Linseed, consumption mix {BE} U;0.16666666666666666;kg;Linseed from BE. Belgium specific consumption mix is used. 
Input;Linseed, consumption mix {FR} U;Linseed {RoW}| linseed production | Cut-off, U - Adapted from Ecoinvent U;0.17777777777777778;kg;Linseed produced in UK. RoW is used as proxy for UK. Data from Ecoinvent 3.6
Output;Livarot cheese, from cow's milk, consumption mix {FR} U;Livarot cheese, from cow's milk, consumption mix {FR} U;1.0;kg;
Input;Livarot cheese, from cow's milk, consumption mix {FR} U;Livarot cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Livarot type soft cheese (PGi) {FR} U;1.0;kg;
Output;Live beef, for direct consumption, consumption mix {FR} U;Live beef, for direct consumption, consumption mix {FR} U;1.0;kg;
Input;Live beef, for direct consumption, consumption mix {FR} U;Beef cattle, conventional, national average, at farm gate {FR} U;1.0;kg;
Output;Live beef, for processing, consumption mix {FR} U;Live beef, for processing, consumption mix {FR} U;1.0;kg;
Input;Live beef, for processing, consumption mix {FR} U;Beef cattle, conventional, national average, at farm gate {FR} U;0.8;kg;
Input;Live beef, for processing, consumption mix {FR} U;Beef cattle, conventional, national average, at farm gate {FR} U;0.2;kg;NL process assumed to be the same as French
Output;Live broiler, for direct consumption, consumption mix {FR} U;Live broiler, for direct consumption, consumption mix {FR} U;1.0;kg;
Input;Live broiler, for direct consumption, consumption mix {FR} U;Broiler, conventional, at farm gate {FR} U;1.0;kg;
Output;Live broiler, for processing, consumption mix {FR} U;Live broiler, for processing, consumption mix {FR} U;1.0;kg;
Input;Live broiler, for processing, consumption mix {FR} U;Broiler, conventional, at farm gate {FR} U;0.174;kg;FR used as a substitute for BE
Input;Live broiler, for processing, consumption mix {FR} U;Broiler, conventional, at farm gate {FR} U;0.174;kg;FR used as a substitute for NL
Input;Live broiler, for processing, consumption mix {FR} U;Broiler, conventional, at farm gate {FR} U;0.093;kg;FR used as a substitute for DE
Input;Live broiler, for processing, consumption mix {FR} U;Broiler, conventional, at farm gate {FR} U;0.093;kg;FR used as a substitute for PL
Input;Live broiler, for processing, consumption mix {FR} U;Broiler, conventional, at farm gate {FR} U;0.465;kg;
Output;Live duck for roasting, consumption mix {FR} U;Live duck for roasting, consumption mix {FR} U;1.0;kg;
Input;Live duck for roasting, consumption mix {FR} U;Duck for roasting, conventional, at farm gate {FR} U;1.0;kg;
Output;Live fattened duck, consumption mix {FR} U;Live fattened duck, consumption mix {FR} U;1.0;kg;
Input;Live fattened duck, consumption mix {FR} U;Fattening duck, conventional, at farm gate {FR} U;1.0;kg;
Output;Live lamb, consumption mix {FR} U;Live lamb, consumption mix {FR} U;1.0;kg;
Input;Live lamb, consumption mix {FR} U;Lamb, conventional, indoor production system, at farm gate {FR} U;1.0;kg;
Output;Live pig, consumption mix {FR} U;Live pig, consumption mix {FR} U;1.0;kg;
Input;Live pig, consumption mix {FR} U;Mixt pig, conventional, national average, at farm gate {FR} U;1.0;kg;
Output;Live veal, consumption mix {FR} U;Live veal, consumption mix {FR} U;1.0;kg;
Input;Live veal, consumption mix {FR} U;Veal, conventional, fattening system, calves from lowland milk system, at farm gate {FR} U;1.0;kg;
Output;Lobster, consumption mix {FR} U;Lobster, consumption mix {FR} U;1.0;kg;
Input;Lobster, consumption mix {FR} U;Lobster, 1 kg of product, at landing {CA} U;0.392631579;kg;70% of lobsters are imported alive (not frozen, not cooked).The remaining 30% are dead and frozen. We only model live lobsters in this dataset.  Source :  http://www.guidedesespeces.org/fr/homard Source for the origins : https://www.franceagrimer.fr/fam/content/download/65778/document/BIL-MER-commerce_extŽrieur-A19_final,pdf?version=1 and https://www.normandiefraicheurmer.fr/media/dp_homard_du_cotentin_2018__039792400_1218_12032018.pdf for the French data. 37,3% of the lobsters come from Canada.   Taking lobster losses into account : 5% of landed lobster biomass is lost prior to delivery to the customer.  Source : Driscoll, J., Boyd, C., & Tyedmers, P. (2015). Life cycle assessment of the Maine and southwest Nova Scotia lobster industries. Fisheries Research, 172, 385à400. https://doi.org/10.1016/j.fishres.2015.08.007
Input;Lobster, consumption mix {FR} U;Lobster, 1 kg of product, at landing {GB} U;0.318947368;kg;70% of lobsters are imported alive (not frozen, not cooked).The remaining 30% are dead and frozen. We only model live lobsters in this dataset.  Source :  http://www.guidedesespeces.org/fr/homard Source for the origins : https://www.franceagrimer.fr/fam/content/download/65778/document/BIL-MER-commerce_extŽrieur-A19_final,pdf?version=1 and https://www.normandiefraicheurmer.fr/media/dp_homard_du_cotentin_2018__039792400_1218_12032018.pdf for the French data. 30,3% of the lobsters come from GB..   Taking lobster losses into account : 5% of landed lobster biomass is lost prior to delivery to the customer.  Source : Driscoll, J., Boyd, C., & Tyedmers, P. (2015). Life cycle assessment of the Maine and southwest Nova Scotia lobster industries. Fisheries Research, 172, 385à400. https://doi.org/10.1016/j.fishres.2015.08.007
Input;Lobster, consumption mix {FR} U;Lobster, 1 kg of product, at landing {FR} U;0.087368421;kg;70% of lobsters are imported alive (not frozen, not cooked).The remaining 30% are dead and frozen. We only model live lobsters in this dataset.  Source :  http://www.guidedesespeces.org/fr/homard Source for the origins : https://www.franceagrimer.fr/fam/content/download/65778/document/BIL-MER-commerce_extŽrieur-A19_final,pdf?version=1 and https://www.normandiefraicheurmer.fr/media/dp_homard_du_cotentin_2018__039792400_1218_12032018.pdf for the French data. 8,3% of the lobsters come from France.   Taking lobster losses into account : 5% of landed lobster biomass is lost prior to delivery to the customer.  Source : Driscoll, J., Boyd, C., & Tyedmers, P. (2015). Life cycle assessment of the Maine and southwest Nova Scotia lobster industries. Fisheries Research, 172, 385à400. https://doi.org/10.1016/j.fishres.2015.08.007
Input;Lobster, consumption mix {FR} U;Lobster, 1 kg of product, at landing {US} U;0.161052632;kg;70% of lobsters are imported alive (not frozen, not cooked).The remaining 30% are dead and frozen. We only model live lobsters in this dataset.  Source :  http://www.guidedesespeces.org/fr/homard Source for the origins : https://www.franceagrimer.fr/fam/content/download/65778/document/BIL-MER-commerce_extŽrieur-A19_final,pdf?version=1 and https://www.normandiefraicheurmer.fr/media/dp_homard_du_cotentin_2018__039792400_1218_12032018.pdf for the French data. 15,3% of the lobsters come from USA.  Taking lobster losses into account : 5% of landed lobster biomass is lost prior to delivery to the customer.  Source : Driscoll, J., Boyd, C., & Tyedmers, P. (2015). Life cycle assessment of the Maine and southwest Nova Scotia lobster industries. Fisheries Research, 172, 385à400. https://doi.org/10.1016/j.fishres.2015.08.007
Input;Lobster, consumption mix {FR} U;Lobster, 1 kg of product, at landing {IE} U;0.092631579;kg;70% of lobsters are imported alive (not frozen, not cooked).The remaining 30% are dead and frozen. We only model live lobsters in this dataset.  Source :  http://www.guidedesespeces.org/fr/homard Source for the origins : https://www.franceagrimer.fr/fam/content/download/65778/document/BIL-MER-commerce_extŽrieur-A19_final,pdf?version=1 and https://www.normandiefraicheurmer.fr/media/dp_homard_du_cotentin_2018__039792400_1218_12032018.pdf for the French data. 8,8% of the lobsters come from Ireland.   Taking lobster losses into account : 5% of landed lobster biomass is lost prior to delivery to the customer.  Source : Driscoll, J., Boyd, C., & Tyedmers, P. (2015). Life cycle assessment of the Maine and southwest Nova Scotia lobster industries. Fisheries Research, 172, 385à400. https://doi.org/10.1016/j.fishres.2015.08.007
Output;Lupins, consumption mix {FR} U;Lupins, consumption mix {FR} U;1.0;kg;
Input;Lupins, consumption mix {FR} U;Fava bean, Swiss integrated production {CH}| fava bean production, Swiss integrated production, at farm | Cut-off, U - Adapted from Ecoinvent U;0.888;kg;FR used as a substitute for AU
Input;Lupins, consumption mix {FR} U;Fava bean, Swiss integrated production {CH}| fava bean production, Swiss integrated production, at farm | Cut-off, U - Adapted from Ecoinvent U;0.112;kg;FR used as a substitute for PL
Output;Lychee, consumption mix {FR} U;Lychee, consumption mix {FR} U;1.0;kg;
Input;Lychee, consumption mix {FR} U;Mango, conventional, Val de San Francisco, at orchard {BR} U;1.0;kg;
Output;Mackerel fillet, white wine and aromatics, canned, consumption mix {FR} U;Mackerel fillet, white wine and aromatics, canned, consumption mix {FR} U;1.0;kg;
Input;Mackerel fillet, white wine and aromatics, canned, consumption mix {FR} U;Mackerel, main product, NEA, Pelagic Trawl, headed, eviscerated and frozen land {NL};0.5;kg;
Input;Mackerel fillet, white wine and aromatics, canned, consumption mix {FR} U;Mackerel, main product, NEA, Pelagic Trawl, on-board frozen, at landing {FR} U;0.5;kg;
Output;Mackerel, consumption mix {FR} U;Mackerel, consumption mix {FR} U;1.0;kg;
Input;Mackerel, consumption mix {FR} U;Atlantic Mackerel, Scomber scombrus, NEA, Pelagic Trawl, average, at landing {NL} U;0.3;kg;EU process assumed to be the same as French
Input;Mackerel, consumption mix {FR} U;Atlantic Mackerel, Scomber scombrus, NEA, Pelagic Trawl, average, at landing {NL} U;0.3;kg;Non-EU process assumed to be the same as French
Input;Mackerel, consumption mix {FR} U;Atlantic Mackerel, Scomber scombrus, NEA, Pelagic Trawl, average, at landing {NL} U;0.4;kg;
Output;Maize grain, consumption mix {FR} U;Maize grain, consumption mix {FR} U;1.0;kg;
Input;Maize grain, consumption mix {FR} U;Maize grain, conventional, 28% moisture, national average, animal feed, at farm gate {FR} U;1.0;kg;
Output;Maize grain, consumption mix {IT} U;Maize grain, consumption mix {IT} U;1.0;kg;
Input;Maize grain, consumption mix {IT} U;Dried grain maize, conventional, national average, at processing {FR} U;0.8344;kg;FR used as a substitute for IT - Consumption mixes data from Blonk Consultants
Input;Maize grain, consumption mix {IT} U;Maize grain, irrigated, at farm {UA} - Adapted from WFLDB U;0.095172414;kg;UA
Input;Maize grain, consumption mix {IT} U;Maize grain, non-irrigated, at farm {UA} - Adapted from WFLDB U;0.095172414;kg;UA
Input;Maize grain, consumption mix {IT} U;Grain drying, high temperature {FR} U;0.024744828;kg;Hypothesis : 0,13kg water evaporated  in 1kg maize (as in the dataset : Maize grain dried, organic, Aquitaine, at farm gate/FR U)
Output;Maize grain, for canned and frozen products, consumption mix {FR} U;Maize grain, for canned and frozen products, consumption mix {FR} U;1.0;kg;
Input;Maize grain, for canned and frozen products, consumption mix {FR} U;Maize grain, conventional, 28% moisture, national average, animal feed, at farm gate {FR} U;1.0;kg;
Output;Maize oil, consumption mix {FR} U;Maize oil, consumption mix {FR} U;1.0;kg;
Input;Maize oil, consumption mix {FR} U;Maize oil, at oil mill {GLO} - Adapted from WFLDB U;1.0;kg;GLO used as a proxy for FR
Output;Maize starch, consumption mix {FR} U;Maize starch, consumption mix {FR} U;1.0;kg;
Input;Maize starch, consumption mix {FR} U;Maize starch {GLO}| market for | Cut-off, S - Copied from Ecoinvent U;1.0;kg;GLO used as proxy for FR
Output;Mandarin, consumption mix {FR} U;Mandarin, consumption mix {FR} U;1.0;kg;
Input;Mandarin, consumption mix {FR} U;Mandarin {ES}| mandarin production | Cut-off, U - Adapted from Ecoinvent U;1.0;kg;
Output;Mango, consumption mix {FR} U;Mango, consumption mix {FR} U;1.0;kg;
Input;Mango, consumption mix {FR} U;Mango, conventional, Val de San Francisco, at orchard {BR} U;0.107;kg;BR used as a substitute for CI
Input;Mango, consumption mix {FR} U;Mango, conventional, Val de San Francisco, at orchard {BR} U;0.227;kg;BR used as a substitute for ES
Input;Mango, consumption mix {FR} U;Mango, conventional, Val de San Francisco, at orchard {BR} U;0.04;kg;BR used as a substitute for FR
Input;Mango, consumption mix {FR} U;Mango, conventional, Val de San Francisco, at orchard {BR} U;0.147;kg;BR used as a substitute for IL
Input;Mango, consumption mix {FR} U;Mango, conventional, Val de San Francisco, at orchard {BR} U;0.333;kg;BR used as a substitute for PE
Input;Mango, consumption mix {FR} U;Mango, conventional, Val de San Francisco, at orchard {BR} U;0.147;kg;
Output;Mango, raw, from Brazil by plane, consumption mix {FR} U;Mango, raw, from Brazil by plane, consumption mix {FR} U;1.0;kg;
Input;Mango, raw, from Brazil by plane, consumption mix {FR} U;Mango, conventional, Val de San Francisco, at orchard {BR} U;1.0;kg;
Output;Marjoram, dried, consumption mix {FR} U;Marjoram, dried, consumption mix {FR} U;1.0;kg;
Input;Marjoram, dried, consumption mix {FR} U;Mint {RoW}| mint production | Cut-off, U - Adapted from Ecoinvent U;4.96;kg;Water content of fresh and dry mint according to CIQUAL 2020 (proxy for marjoram)
Output;Maroilles cheese, from cow's milk, consumption mix {FR} U;Maroilles cheese, from cow's milk, consumption mix {FR} U;1.0;kg;
Input;Maroilles cheese, from cow's milk, consumption mix {FR} U;Maroilles cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Maroilles type soft cheese (PGi) {FR} U;1.0;kg;
Output;Maroilles fermier cheese, from cow's milk, consumption mix {FR} U;Maroilles fermier cheese, from cow's milk, consumption mix {FR} U;1.0;kg;
Input;Maroilles fermier cheese, from cow's milk, consumption mix {FR} U;Maroilles fermier cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Maroilles fermier type soft cheese (PGi) {FR} U;1.0;kg;
Output;Maroilles laitier cheese, from cow's milk, consumption mix {FR} U;Maroilles laitier cheese, from cow's milk, consumption mix {FR} U;1.0;kg;
Input;Maroilles laitier cheese, from cow's milk, consumption mix {FR} U;Maroilles laitier cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Maroilles laitier type soft cheese (PGi) {FR} U;1.0;kg;
Output;Mediterranean bass, consumption mix {FR} U;Mediterranean bass, consumption mix {FR} U;1.0;kg;
Input;Mediterranean bass, consumption mix {FR} U;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate {FR} U;0.3;kg;EU process assumed to be the same as French
Input;Mediterranean bass, consumption mix {FR} U;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate {FR} U;0.3;kg;Non-EU process assumed to be the same as French
Input;Mediterranean bass, consumption mix {FR} U;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate {FR} U;0.4;kg;
Output;Mediterranean bass, wild, consumption mix {FR} U;Mediterranean bass, wild, consumption mix {FR} U;1.0;kg;
Input;Mediterranean bass, wild, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.3;kg;EU process assumed to be the same as French
Input;Mediterranean bass, wild, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.3;kg;Non-EU process assumed to be the same as French
